threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,3,0.28125,0.14155982905982906,0.1613497076023392,0.5,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,"{'tn': 16, 'fp': 0, 'fn': 3, 'tp': 0}",0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.926923076923077,24,0.012398962962962964,0.1613497076023392
0.5,19,3,0.9166666666666667,0.5888888888888888,0.10642982456140353,0.46875,0.7894736842105263,0.0,0.0,0.0,0.9375,0.0,"{'tn': 15, 'fp': 1, 'fn': 3, 'tp': 0}",1,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8508547008547008,22,0.015985925925925928,0.10642982456140353
0.5,19,4,0.5833333333333334,0.40773809523809523,0.1635557257343722,0.5,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,"{'tn': 15, 'fp': 0, 'fn': 4, 'tp': 0}",2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9534188034188034,23,0.011153220525901437,0.1635557257343722
0.5,19,4,0.4833333333333334,0.42068713450292394,0.17572631578947367,0.5,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,"{'tn': 15, 'fp': 0, 'fn': 4, 'tp': 0}",3,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.938034188034188,26,0.012501629629629632,0.17572631578947367
0.5,18,3,0.5666666666666667,0.2547008547008547,0.14646296296296296,0.5,0.8333333333333334,0.0,0.0,0.0,1.0,0.0,"{'tn': 15, 'fp': 0, 'fn': 3, 'tp': 0}",4,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8824786324786326,27,0.01530029239766082,0.14646296296296296
0.5,19,3,0.7291666666666666,0.41025641025641024,0.11290000000000001,0.5,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,"{'tn': 16, 'fp': 0, 'fn': 3, 'tp': 0}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.95,33,0.01354014814814815,0.11290000000000001
0.5,19,3,0.6666666666666666,0.6111111111111112,0.1158748538011696,0.5,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,"{'tn': 16, 'fp': 0, 'fn': 3, 'tp': 0}",6,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9136752136752136,28,0.012540148148148146,0.1158748538011696
0.5,19,4,0.8833333333333333,0.5845238095238094,0.13182982456140355,0.5,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,"{'tn': 15, 'fp': 0, 'fn': 4, 'tp': 0}",7,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.87008547008547,27,0.01400474074074074,0.13182982456140355
0.5,19,4,0.55,0.3214285714285714,0.1895953802912615,0.4666666666666667,0.7368421052631579,0.0,0.0,0.0,0.9333333333333333,0.0,"{'tn': 14, 'fp': 1, 'fn': 4, 'tp': 0}",8,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9247863247863248,27,0.02843514807695529,0.1895953802912615
0.5,18,3,0.7333333333333333,0.34444444444444444,0.15976049382716048,0.4666666666666667,0.7777777777777778,0.0,0.0,0.0,0.9333333333333333,0.0,"{'tn': 14, 'fp': 1, 'fn': 3, 'tp': 0}",9,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9179487179487179,33,0.013196783625730995,0.15976049382716048
0.5,19,3,0.78125,0.5396825396825397,0.11382222222222217,0.5,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,"{'tn': 16, 'fp': 0, 'fn': 3, 'tp': 0}",10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.929059829059829,28,0.015718666666666666,0.11382222222222217
0.5,19,3,0.4270833333333333,0.21805555555555556,0.15495466712974648,0.5,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,"{'tn': 16, 'fp': 0, 'fn': 3, 'tp': 0}",11,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9179487179487179,23,0.01388366058652374,0.15495466712974648
0.5,19,4,0.5083333333333333,0.23677156177156178,0.2446970760233918,0.4,0.631578947368421,0.0,0.0,0.0,0.8,0.0,"{'tn': 12, 'fp': 3, 'fn': 4, 'tp': 0}",12,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9284188034188035,23,0.011089481481481483,0.2446970760233918
0.5,19,4,0.7666666666666666,0.8055555555555556,0.12087534657389903,0.625,0.8421052631578947,1.0,0.25,0.25,1.0,0.4,"{'tn': 15, 'fp': 0, 'fn': 3, 'tp': 1}",13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9200854700854701,23,0.014362021694995371,0.12087534657389906
0.5,18,3,0.611111111111111,0.30694444444444446,0.1312154320987654,0.5,0.8333333333333334,0.0,0.0,0.0,1.0,0.0,"{'tn': 15, 'fp': 0, 'fn': 3, 'tp': 0}",14,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9145299145299145,28,0.01348771929824561,0.1312154320987654
